issue,title,primary finding,validator comment,status,root cause (URL),size
findings-11,"TokenManager::approveService() has onlyService modifier, however tokenHandler will be msg.sender",findings-2,Service delegate call to TokenHandler,Unsatisfactory,,45
findings-13,InterchainTokenService::transmitInterchainTransfer() will revert due to passing True as tokenOnly,,invalid. delegate call not change msg.sender,Unsatisfactory,,63
findings-14,It is possible to steal refunded gas tokens from the caller,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,90
findings-16,Tokens with transfer fees registered through Factory will disrupt token accounting,findings-31,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L255,76
findings-17,Attacker can register wrong gateway token for a given tokenIdentifier,,onlyOwner function,Unsatisfactory,,44
findings-18,`AxelarAmplifierGateway`: Malicious signatures remain valid even when malicious signers were rotated out by operators,findings-18,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L174-L188,60
findings-19,Prepaid gas might be refunded to an incorrect address  ,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,93
findings-2,`TokenHandler::postTokenManagerDeploy` Denial-of-Service Due to Wrong Access Control,findings-2,Service delegate call to TokenHandler,Unsatisfactory,,63
findings-20,amplifier/interchain-token-service Lack of initialization privileges,validation-202,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/msg.rs#L27-L28,93
findings-21,"interchainTransfer() user specifies CONTRACT_CALL, but it can be executed as EXPRESS_CALL and vice versa.",findings-21,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L1171,83
findings-22,"_getExecuteParams() if chains is compromised , can submit sourceAddress=hub to skip ITS balance tracking restrictions",findings-22,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L985,89
findings-23,Malicios signers removal procedure is very cumbersome and allows plenty of time for the bad actors to inflict damage,findings-23,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/AxelarAmplifierGateway.sol#L99-L103,68
findings-24,Maliciosly approved messages cannot be marked as not approved,findings-18,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L174-L188,65
findings-25,TokenManager::approveService() doesn't set tokenHandler approval,,Service delegate call to TokenHandler,Unsatisfactory,,48
findings-26,Interchain token transferring can be DoSed,,unclear how malicious attacker's address on remote chain is same as interchain token deployer's address on source chain,Unsatisfactory,,78
findings-27,Users can not register the canonical token as an interchain token in amplifier chains,findings-27,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L318,68
findings-28,Executing express operations do not check the gas payment for express call,findings-21,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L1171,35
findings-29,Calling `InterchainTokenService.deployInterchainToken` function only should be allowed to `InterchainTokenFactory` contract,findings-29,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327-L349,38
findings-3,`TokenHandler::_mintToken` and `_burnToken` Denial-of-Service Due to Wrong Access Control,,Service delegate call to TokenHandler,Unsatisfactory,,57
findings-30,Users can not set minter address of the interchain token freely,,seems intended,Unsatisfactory,,39
findings-31,`InterchainTokenFactory` contract does not support registering canonical fee-on-transfer tokens,findings-31,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L255,36
findings-33,Can disable ITSHub's balance tracking feature by setting an additional minter to the ITS address,findings-33,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L203,121
findings-34,Anyone can front-run an Interchain Token Deployment with Interchain Transfers to mess up ITS Hub's balance tracking,findings-34,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/state.rs#L150,74
findings-35,Anyone can steal locked tokens in the ITS Edge by deploying a Gateway Token Manager for the target token,findings-35,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L112-L115,128
findings-36,Canonical Interchain Tokens can only be registered with LOCK_UNLOCK Token Managers,findings-31,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L255,45
findings-37,cUSDCv3 as a canonical token can be drained from ITS Edge because of how it handles uint256 on transfers,findings-37,overinflated severity,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L108-L111,57
findings-38,Minters of Native Interchain Tokens can steal locked tokens in their remote LOCK_UNLOCK counterparts,findings-38,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenService.sol#L327-L349,50
findings-39,Operators can remove ITS Edge as Operator and block interchain transfers by setting flow limit to 1,,trusted role,Unsatisfactory,,63
findings-4,Excess ETH Sent to Contract Not Refunded and Will Be Lost,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,63
findings-40,COMP and UNI will not work with ITS because they do not support approval of values > uint96,findings-40,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/token-manager/TokenManager.sol#L181,59
findings-41,Registering canonical interchain tokens can be blocked when pre-existing token uses the same address in different chains,findings-41,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenFactory.sol#L266-L294,66
findings-42,Interchain Tokens do not support rebasing tokens like stETH,findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,30
findings-43,Bridge requests to remote chains where interchain tokens are not deployed can result in DoS attacks,findings-43,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L192,76
findings-44,Redeploying a remote interchain token without a minter can initialize the ITSHub balance and DoS the bridge,findings-44,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L148-L157,65
findings-45,Can bypass the flow limit by registering an interchain token as a canonical token,findings-45,seems like configuration issue,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L249,62
findings-46,No guarantee of enough balance in the destination chain when paired Interchain Tokens are LOCK_UNLOCK,findings-46,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenService.sol#L286-L311,50
findings-5,"The name, symbol, decimals, and miner can be set differently from the original when deploying remotely by calling deployInterchainToken directly",findings-5,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L330-L333,179
findings-7,`UpdateTrustedAddress` cannot be called on the ITS Hub as no one has any Elevated roles,validation-202,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/msg.rs#L27-L28,77
findings-8,Can block bridge or limit the bridgeable amount by initializing the ITSHub balance of the original chain,findings-8,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L176,279
validation-10,Potential Centralization Risk in Operator Role,validation-164,trusted role,Unsatisfactory,,85
validation-100,"Messages cannot be retried if routing fails, as `route_incoming_messages` will read into an empty storage",validation-100,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/contracts/axelarnet-gateway/src/contract/execute.rs#L77-L98,116
validation-107,Risk of reuse of signatures across forks due to lack of chain ID validation,,invalid. `DOMAIN_SEPARATOR()` use `block.chainID`,Unsatisfactory,,99
validation-11,Potential Misconfiguration of Trusted Addresses,,AI generated,Unsatisfactory,,67
validation-111,Upgrades can be DOS'ed,validation-111,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/c383cc0e51805357bca8741ec5d1568cacbff6cc/axelar-gmp-sdk-solidity/contracts/gateway/AxelarAmplifierGateway.sol#L63,82
validation-114,Requiring the minter addresses to be same across different chains may lead to a DOS,,design choice,Unsatisfactory,,89
validation-117,`isCommandExecuted` incorrectly returns that messages are executed,validation-117,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L115-L117,68
validation-118,Current design do not support ERC20 rebasing token,findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,45
validation-121,"Passing an arbitrary from address to transferFrom (or safeTransferFrom) can lead to loss of funds, because anyone can transfer tokens from the from address if an approval is made.",,no detail,Unsatisfactory,,21
validation-122,"Passing an arbitrary from address to transferFrom (or safeTransferFrom) can lead to loss of funds, because anyone can transfer tokens from the from address if an approval is made.",,no detail,Unsatisfactory,,21
validation-123,"Use abi.encode() instead which will pad items to 32 bytes, which will prevent hash collisions (e.g. abi.encodePacked(0x123,0x456) => 0x123456 => abi.encodePacked(0x1,0x23456), but abi.encode(0x123,0x456) => 0x0...1230...456). Unless there is a compelling reason, abi.encode should be preferred. If there is only one argument to abi.encodePacked() it can often be cast to bytes() or bytes32() instead. If all arguments are strings and or bytes, bytes.concat() should be used instead.",,no detail,Unsatisfactory,,21
validation-124,Consider protecting the initializer functions with modifiers.,,no detail,Unsatisfactory,,21
validation-125,"Instead of separating the logic into a separate function, consider inlining the logic into the calling function. This can reduce the number of function calls and improve readability.  Recommendation:  No recommendations provided.",,no detail,Unsatisfactory,,21
validation-127,The hub does not protect ITS tokens that were not deployed on a compromised chain,validation-127,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/state.rs#L192,151
validation-128,TokenBalance limit could be bypassed by deploying TokenManager,validation-128,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/contract/execute.rs#L101-L406,59
validation-132,Not compatible with rebasing tokens,findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,72
validation-133,ERC20Permit Vulnerability: Allowance Inflation and Persistent Approval Risks,,AI generated,Unsatisfactory,,251
validation-135,Potential Risk of Trapped Ether in Core Contracts Due to Lack of Recovery Mechanism,,AI generated,Unsatisfactory,,189
validation-136,"Lack of ERC-1271 Compliance in AxelarAmplifierGateway, BaseWeighted MultiSig and ERC20Permit.",,"invalid, AI generated",Unsatisfactory,,144
validation-138,Looping over unbounded `trusted_addresses` can lead to issues with saving new addresses and transaction failure,,invalid,Unsatisfactory,,94
validation-139,Improper implementation of `isCommandExecuted` will cause approved messages to not be express executable,validation-117,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L115-L117,79
validation-14,Error Management,,invalid,Unsatisfactory,,43
validation-141,An interchain token's `flowLimit` set in `TokenManager` can be used to DoS interchain transfers and potentially prevent an express executor from being reimbursed their tokens,validation-141,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/token-manager/TokenManager.sol#L117,28
validation-143,Griefer could cause Economic damage/Temporary DoS on system due to lack of check on the source and destination address been the same,validation-143,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/contract/execute.rs#L19-L79,28
validation-145,An attacker could deploy a gateway token and use it to drain the token on ITS.,validation-145,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenService.sol#L286-L311,257
validation-147,Lack of Access Control in approveMessages Function,,invalid,Unsatisfactory,,31
validation-149,The token balance tracking logic for some supported tokens can be broken/sidestepped,validation-149,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/69c4f2c3fcefb1b8eb2129af9c3685a44ae5b6fe/axelar-amplifier/interchain-token-service/src/state.rs#L139-L164,160
validation-150,Axelar can not process any state updating logic due to the current implementation of `contract#migrate()`,,suggestion not issue,Unsatisfactory,,46
validation-151,Tokens could get stolen due to the hardcoded `deployer` in `InterchainTokenService#deployInterchainToken()`,,"user error, can deploy through factory",Unsatisfactory,,59
validation-152,Axelar wouldn't be able to process executions from non-evm chains,validation-152,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/69c4f2c3fcefb1b8eb2129af9c3685a44ae5b6fe/interchain-token-service/contracts/InterchainTokenService.sol#L720-L776,66
validation-154,No access control in ITS TokenHandler.sol giveToken and takeToken,,invalid,Unsatisfactory,,99
validation-155,Users can bypass ITS interchain transfer by directly calling `callContract()` in GatewayCaller.sol,,insufficient proof,Unsatisfactory,,146
validation-156,Smart wallet accounts will have issues when interacting with the ITS contract because of the use of tx.origin,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,114
validation-157,Inconsistent validation across different entry points when deploying interchain tokens,,no clear impact,Unsatisfactory,,201
validation-158,"Failure to Update Token Balance in `update_token_balance` Function Leads to Inaccurate On-Chain Balance Storage, Impacting `execute_message` Functionality in Rust Contracts",,insufficient proof,Unsatisfactory,,225
validation-159,Malicious addresses can send the same message or a large number of malicious messages to cause DoS,,AI generated,Unsatisfactory,,59
validation-16,DOMAIN_SEPARATOR,,spam,Unsatisfactory,,52
validation-160,Any user can call the start_token_balance method to initialize token balance tracking,,invalid,Unsatisfactory,,58
validation-161,"The update_token_balance method lacks access control, allowing any user to directly modify the token balance on the chain",,invalid,Unsatisfactory,,57
validation-162,Replay risk,,insufficient proof,Unsatisfactory,,34
validation-163,Malicious users can change trusted addresses at will,,invalid,Unsatisfactory,,45
validation-164,The operator role can abuse the signer rotation permission to update the signer list to the signers he controls.,validation-164,trusted role,Unsatisfactory,,65
validation-166,Potentially arbitrary contract calls via the expressExecute method,,AI generated,Unsatisfactory,,39
validation-167,Inconsistent callers leading to accidental transfer or destruction of funds,,invalid,Unsatisfactory,,63
validation-168,Improper use of msg.sender in _takeToken method,,invalid,Unsatisfactory,,59
validation-169,The initialization logic of the InterchainToken contract has serious flaws,,invalid,Unsatisfactory,,95
validation-17,INITIALIZED_SLOT,,spam,Unsatisfactory,,70
validation-170,invallid validation totalweight can be equal to threshold which threshold is equal to 0,,low quality,Unsatisfactory,,47
validation-171, Axelar cross chain token transfers balance tracking logic is completely broken for rebasing tokens and the transfers of these type of tokens can be exploited,findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,340
validation-172,Flow limits can never get set by the `Operator`,,invalid,Unsatisfactory,,82
validation-173,Deployments of new interchain tokens could be broken due to AC,,minter is set to address(this) before deployment,Unsatisfactory,,75
validation-174,Cross chain calls can be permanently DOS'd due to collision of message Ids,validation-174,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/contracts/axelarnet-gateway/src/state.rs#L30,89
validation-176,Permit doesn't work with DAI because the DAI token's permit signature is different.,,invalid,Unsatisfactory,,51
validation-178,Multicall being marked as payable is seriously dangerous,,"insufficient proof, no clear impact",Unsatisfactory,,72
validation-18,Events can result in incorrect action being taken ,validation-18,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/c383cc0e51805357bca8741ec5d1568cacbff6cc/axelar-amplifier/contracts/axelarnet-gateway/src/contract/execute.rs#L71-L75,87
validation-180,Missing `chainId` in `TokenChainPair` Deserialization Causes Discrepancies in Token Balance Tracking and Message Execution in Rust Contract,validation-180,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L71,45
validation-181,expressExecute at the InterchainTokenService doesn't handle native tokens properly,validation-181,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L375,60
validation-182,TokenHandler:transferTokenFrom doesn't ensure msg.value is equal to the desired amount in case of tokenIds of native tokens,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,39
validation-183,msg.value is decoupled from the gasValue parameter,validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,53
validation-184,The execute contract at the interchain-token-service doesn't initialize the token balance at the source chain when deploying an interchain token,validation-75,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L166-L196,74
validation-185,Users can deploy gateway tokens but they won't work properly,validation-185,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L710,53
validation-186,TokenManager:approveService does not work with certain tokens,,Called at deployment so previous allowance is 0,Unsatisfactory,,27
validation-189,Inaccurate `CrossChainId` matching in the `save_outgoing_msg ` function of ``state.rs` contract of  `axelarnet-gateway` package,validation-189,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/contracts/axelarnet-gateway/src/state.rs#L110,54
validation-19,FOT & Rebase tokens will not work,findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,55
validation-190,Incorrect setting of flow limit can lead to DoS,validation-190,overflow,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/FlowLimit.sol#L103,194
validation-193,The rust ITS Hub core entry points are not pausable,validation-193,"suggestion, not issue",Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/69c4f2c3fcefb1b8eb2129af9c3685a44ae5b6fe/axelar-amplifier/contracts/axelarnet-gateway/src/state.rs#L1-L233,91
validation-194,`UpdateTrustedAddress` is currently inaccessible to `Elevated` addresses,,invalid,Unsatisfactory,,112
validation-195,Calling core state functionalities would fail since they've been restricted to the testing scope,validation-62,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/state.rs#L121-L128,109
validation-197,"Unauthorized users can deploy Invalid token managers, polluting state",,invalid,Unsatisfactory,,152
validation-198,TokenManager.sol has no way of handling rewards accrued by tokens that modify balance other than transfers.,findings-42,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L63-L71,48
validation-199,`gasValue` can be more than msg.value in deployInterchainToken(),validation-199,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327,402
validation-2,Front-running risk in the context of the rotateSigners function,,spam,Unsatisfactory,,93
validation-20,No check to ensure correct decimals are used,validation-20,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/c383cc0e51805357bca8741ec5d1568cacbff6cc/interchain-token-service/contracts/InterchainTokenService.sol#L1096,48
validation-200,refund address should not be hardcoded to tx.origin. ,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,65
validation-202,ITS Hub trusted addresses cannot be updated,validation-202,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/msg.rs#L27-L28,29
validation-203,`AxelarAmplifierGateway::rotateSigners` missing repeat signer set validation,,comments might be wrong but the code checked it,Unsatisfactory,,35
validation-204,`InterchainTokenFactory` and `InterchainTokenService` lack of `contractId` validation during upgrade,,,Unsatisfactory,,34
validation-205,Redundant `Prefixer` Trait in `TokenId` Struct Causes Unnecessary Issue in Key Generation in the `primitives.rs` Contract of the `interchain-token-service` Package,validation-205,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/axelar-amplifier/interchain-token-service/src/primitives.rs#L24-L25,47
validation-21,Some tokens cannot be bridged,validation-25,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/TokenHandler.sol#L113,77
validation-212,Setting the minter to address(0) deprives anyone from minting/burning,validation-256,invalid,Unsatisfactory,,79
validation-213,Signature Replay Vulnerability in _validateProof function,validation-213,invalid,Unsatisfactory,,87
validation-214,Token is minted to the `sender/msg.sender` instead of `minter`,validation-291,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/interchain-token-service/contracts/InterchainTokenFactory.sol#L151,47
validation-215,Signer Set Manipulation in _rotateSigners Function,,invalid,Unsatisfactory,,78
validation-217,Signature Reordering and Duplication Vulnerability in BaseWeightedMultisig Allows Unauthorized Action Approval,,invalid,Unsatisfactory,,79
validation-218,Lack of Token Approval Check in GatewayCaller Leads to Failed Cross-Chain Transactions and Gas Loss,,invalid,Unsatisfactory,,57
validation-220,Unrestricted Remote Token Deployment in InterchainTokenService Enables Unauthorized Cross-Chain Token Replication,,AI generated,Unsatisfactory,,78
validation-221,Proof Replay Vulnerability in Multisig Validation Allows Unauthorized Actions Across Epochs,,invalid,Unsatisfactory,,50
validation-222,Signature Order Vulnerability in BaseWeightedMultisig Allows Rejection of Valid Multi-Signatures,,invalid,Unsatisfactory,,80
validation-223,Duplicate Signer Vulnerability in Multi-Signature Scheme Allows Unilateral Control and Threshold Manipulation,,invalid,Unsatisfactory,,71
validation-224,Potential Storage Slot Collision in Inheritance Chain Risks Data Corruption and Unpredictable Contract Behavior,,insufficient proof,Unsatisfactory,,94
validation-225,DoS: Gateway can accept only `4_294_967_295` messages of type `CallContract` across all source chains,validation-174,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/contracts/axelarnet-gateway/src/state.rs#L30,88
validation-226, Potential Salt Collision in `InterchainTokenDeployer.sol`,,Invalid,Unsatisfactory,,66
validation-227,Unprotected Initialization Function,,invalid. It is called in deployInterchainToken(),Unsatisfactory,,40
validation-228,ABI encoding Issue for `amount` cause `InterchainTransfer` failure in the `abi.rs` contract of `interchain-token-service` package,,insufficient proof,Unsatisfactory,,86
validation-229,Unrestricted Token Burning by MINTER Role,,Intended,Unsatisfactory,,58
